name,name_lower,chapter_idx,count
Суди,суд,0,1
Схватившись,схватившись,0,1
Сыновья,сыновь,0,1
Сюза,сюз,0,1
Таврического,таврического,0,1
Таврическому,таврическом,0,3
Тайный,тайный,0,1
Таковых,таковых,0,1
Твери,твер,0,3
Тверь,тверь,0,3
Творца,творц,0,1
Телянин,телян,0,1
Терпеть,терпеть,0,1
Тильзит,тильзит,0,11
Тильзитский,тильзитский,0,1
Тита,тит,0,1
Тиф,тиф,0,1
Тихона,тихон,0,5
Тобою,тобо,0,1
Топчеенко,топчеенко,0,1
Торжке,торжк,0,1
Тпрру,тпрр,0,2
Троица,троиц,0,1
Трунила,трунил,0,2
Тряпки,тряпк,0,1
Туманное,туманно,0,1
Турции,турци,0,1
Турчанка,турчанк,0,1
Тушин,туш,0,6
Тушиным,тушиным,0,1
Тщетны Россам,тщетн россам,0,2
Убери,убер,0,1
Убирайся,убирайс,0,2
Убирайтесь,убирайтесь,0,1
Уваров,увар,0,2
Уварку,уварк,0,3
Угревшись,угревшись,0,1
Удино,удино,0,1
Узнается,узнаетс,0,1
Улыбающееся,улыбающеес,0,1
Улюлюлю,улюлюл,0,2
Улюлюлюлю,улюлюлюл,0,1
Урусов,урус,0,1
Успения,успени,0,1
Утешительную,утешительну,0,1
Уу,уу,0,1
Феде,фед,0,6
Федор,федор,0,1
Федору Ивановичу,федор иванович,0,2
Федор Иваныч,федор иваныч,0,2
Федор Петрович Уваров,федор петрович увар,0,1
Федосьюшка,федосьюшк,0,4
Фельдмаршал,фельдмаршал,0,3
Феоктисту,феоктист,0,2
Филиппа,филипп,0,2
Фильда,фильд,0,1
Финляндской,финляндск,0,1
Финляндскую,финляндску,0,1
Фиргоф,фиргоф,0,1
Фогелю,фогел,0,2
Фогель,фогель,0,1
Фока,фок,0,3
Фомы Кемпийского,фом кемпийского,0,1
Франц,франц,0,1
Франции,франци,0,2
Фридланда,фридланд,0,1
Фридландское,фридландско,0,1
Фу,фу,0,1
Хандриков,хандрик,0,1
Хвостиков,хвостик,0,3
Хвостикову,хвостиков,0,1
Херубиниевской,херубиниевск,0,1
Холодных,холодных,0,1
Христа,христ,0,1
Христос,христос,0,3
Це,це,0,1
Чарторижского,чарторижского,0,1
Чатров,чатр,0,1
Чей,чей,0,1
Чекмарь,чекмарь,0,2
Чт,чт,0,129
Чудо,чудо,0,3
Шальме,шальм,0,1
Шварценберг,шварценберг,0,1
Швейцарию,швейцари,0,3
Шенграбене,шенграбен,0,2
Шенграбенском,шенграбенск,0,1
Шенграбенским,шенграбенским,0,1
Шенграбенскому,шенграбенском,0,1
Шестьсот,шестьсот,0,1
Шиншин,шинш,0,8
Шиншину,шиншин,0,1
Шиншиным,шиншиным,0,1
Шитов,шит,0,1
Шорох,шорох,0,1
Шпионы,шпион,0,1
Шутишь,шутишь,0,1
Шшшш,шшшш,0,1
Эдуард,эдуард,0,1
Эдуард Карлыч,эдуард карлыч,0,1
Эйлау,эйла,0,1
Экая,эка,0,2
Элен,элен,0,56
Элоим,элоим,0,1
Эрфурт,эрфурт,0,5
Эх,эх,0,6
Юрий Владимирович Долгорукий,юрий владимирович долгорукий,0,1
Юстиниана,юстиниан,0,1
Юсуповой,юсупов,0,1
Юхнове,юхнов,0,2
Ядовитая,ядовита,0,1
